"","state","district","category","type","date","crimes","total_population","total_gdp","lat","lon"
"111","Kedah","All","assault","murder","2022-01-01",15,2163.1,102024.695,6.00356353445946,100.495333581081
"112","Kedah","All","assault","murder","2023-01-01",19,2189.3,103588.044,6.00356353445946,100.495333581081
"113","Kedah","All","assault","rape","2016-01-01",165,2119.7,82363.669,6.00356353445946,100.495333581081
"114","Kedah","All","assault","rape","2017-01-01",119,2143.9,86155.209,6.00356353445946,100.495333581081
"115","Kedah","All","assault","rape","2018-01-01",119,2163,89625.43,6.00356353445946,100.495333581081
"116","Kedah","All","assault","rape","2019-01-01",145,2173.7,93696.564,6.00356353445946,100.495333581081
"117","Kedah","All","assault","rape","2020-01-01",119,2131.4,92080.99,6.00356353445946,100.495333581081
"118","Kedah","All","assault","rape","2021-01-01",148,2151.7,95038.721,6.00356353445946,100.495333581081
"119","Kedah","All","assault","rape","2022-01-01",159,2163.1,102024.695,6.00356353445946,100.495333581081
"120","Kedah","All","assault","rape","2023-01-01",184,2189.3,103588.044,6.00356353445946,100.495333581081
"121","Kedah","All","assault","robbery_gang_armed","2016-01-01",2,2119.7,82363.669,6.00356353445946,100.495333581081
"122","Kedah","All","assault","robbery_gang_armed","2017-01-01",2,2143.9,86155.209,6.00356353445946,100.495333581081
"123","Kedah","All","assault","robbery_gang_armed","2018-01-01",2,2163,89625.43,6.00356353445946,100.495333581081
"124","Kedah","All","assault","robbery_gang_armed","2019-01-01",2,2173.7,93696.564,6.00356353445946,100.495333581081
"125","Kedah","All","assault","robbery_gang_armed","2020-01-01",0,2131.4,92080.99,6.00356353445946,100.495333581081
"126","Kedah","All","assault","robbery_gang_armed","2021-01-01",1,2151.7,95038.721,6.00356353445946,100.495333581081
"127","Kedah","All","assault","robbery_gang_armed","2022-01-01",0,2163.1,102024.695,6.00356353445946,100.495333581081
"128","Kedah","All","assault","robbery_gang_armed","2023-01-01",0,2189.3,103588.044,6.00356353445946,100.495333581081
"129","Kedah","All","assault","robbery_gang_unarmed","2016-01-01",461,2119.7,82363.669,6.00356353445946,100.495333581081
"130","Kedah","All","assault","robbery_gang_unarmed","2017-01-01",333,2143.9,86155.209,6.00356353445946,100.495333581081
"131","Kedah","All","assault","robbery_gang_unarmed","2018-01-01",353,2163,89625.43,6.00356353445946,100.495333581081
"132","Kedah","All","assault","robbery_gang_unarmed","2019-01-01",278,2173.7,93696.564,6.00356353445946,100.495333581081
"133","Kedah","All","assault","robbery_gang_unarmed","2020-01-01",103,2131.4,92080.99,6.00356353445946,100.495333581081
"134","Kedah","All","assault","robbery_gang_unarmed","2021-01-01",190,2151.7,95038.721,6.00356353445946,100.495333581081
"135","Kedah","All","assault","robbery_gang_unarmed","2022-01-01",217,2163.1,102024.695,6.00356353445946,100.495333581081
"136","Kedah","All","assault","robbery_gang_unarmed","2023-01-01",137,2189.3,103588.044,6.00356353445946,100.495333581081
"137","Kedah","All","assault","robbery_solo_armed","2016-01-01",2,2119.7,82363.669,6.00356353445946,100.495333581081
"138","Kedah","All","assault","robbery_solo_armed","2017-01-01",0,2143.9,86155.209,6.00356353445946,100.495333581081
"139","Kedah","All","assault","robbery_solo_armed","2018-01-01",0,2163,89625.43,6.00356353445946,100.495333581081
"140","Kedah","All","assault","robbery_solo_armed","2019-01-01",2,2173.7,93696.564,6.00356353445946,100.495333581081
"141","Kedah","All","assault","robbery_solo_armed","2020-01-01",0,2131.4,92080.99,6.00356353445946,100.495333581081
"142","Kedah","All","assault","robbery_solo_armed","2021-01-01",0,2151.7,95038.721,6.00356353445946,100.495333581081
"143","Kedah","All","assault","robbery_solo_armed","2022-01-01",1,2163.1,102024.695,6.00356353445946,100.495333581081
"144","Kedah","All","assault","robbery_solo_armed","2023-01-01",0,2189.3,103588.044,6.00356353445946,100.495333581081
"145","Kedah","All","assault","robbery_solo_unarmed","2016-01-01",194,2119.7,82363.669,6.00356353445946,100.495333581081
"146","Kedah","All","assault","robbery_solo_unarmed","2017-01-01",157,2143.9,86155.209,6.00356353445946,100.495333581081
"147","Kedah","All","assault","robbery_solo_unarmed","2018-01-01",169,2163,89625.43,6.00356353445946,100.495333581081
"148","Kedah","All","assault","robbery_solo_unarmed","2019-01-01",162,2173.7,93696.564,6.00356353445946,100.495333581081
"149","Kedah","All","assault","robbery_solo_unarmed","2020-01-01",167,2131.4,92080.99,6.00356353445946,100.495333581081
